code,year,age,total,exposure
AUT,1951,12,0,56781.3
AUT,1951,13,0,42578.92
AUT,1951,14,15,40711.41
AUT,1951,15,62,41367.65
AUT,1951,16,354,41865.59
AUT,1951,17,1120,42835.63
AUT,1951,18,2256,44120.44
AUT,1951,19,3558,45393.23
AUT,1951,20,4667,46623.59
AUT,1951,21,5316,48146.6
AUT,1951,22,5702,47837.81
AUT,1951,23,5869,48728.1
AUT,1951,24,6221,50713.69
AUT,1951,25,6546,54006.78
AUT,1951,26,6701,57405.6
AUT,1951,27,6804,58961.47
AUT,1951,28,6480,60317.93
AUT,1951,29,6443,60373.9
AUT,1951,30,5781,58513.72
AUT,1951,31,4871,55038.05
AUT,1951,32,3026,39808.35
AUT,1951,33,2133,30661.63
AUT,1951,34,2106,33291.15
AUT,1951,35,2091,36525.31
AUT,1951,36,2623,49056.96
AUT,1951,37,2650,56540.36
AUT,1951,38,2304,57104.55
AUT,1951,39,1970,58585.63
AUT,1951,40,1608,57869.93
AUT,1951,41,1237,59630.13
AUT,1951,42,906,59111.61
AUT,1951,43,603,58523.97
AUT,1951,44,348,58511
AUT,1951,45,201,58535.57
AUT,1951,46,96,57212.58
AUT,1951,47,51,57718.94
AUT,1951,48,22,56952.82
AUT,1951,49,9.59,56976.11
AUT,1951,50,9.33,55825.49
AUT,1951,51,3.7,54605.98
AUT,1951,52,0.38,53664.32
AUT,1951,53,0,52166.28
AUT,1951,54,0,51019.83
AUT,1951,55,0,50071.11
AUT,1952,12,0,67701.93
AUT,1952,13,2,54501.73
AUT,1952,14,16,41652.05
AUT,1952,15,69,40369.5
AUT,1952,16,333,40811.39
AUT,1952,17,1043,41408.78
AUT,1952,18,2133,42222.2
AUT,1952,19,3606,43860.05
AUT,1952,20,4576,44748.78
AUT,1952,21,5301,46661.3
AUT,1952,22,5860,47509.36
AUT,1952,23,5882,47633.09
AUT,1952,24,6151,47975
AUT,1952,25,6227,50272.83
AUT,1952,26,6708,53927.7
AUT,1952,27,6724,57023.96
AUT,1952,28,6482,58784.87
AUT,1952,29,6286,60106.27
AUT,1952,30,5962,60200.05
AUT,1952,31,5306,59465.11
AUT,1952,32,4540,55063.62
AUT,1952,33,2758,37924.21
AUT,1952,34,1959,30031.49
AUT,1952,35,1817,32377.03
AUT,1952,36,1840,35788.54
AUT,1952,37,2392,50365.33
AUT,1952,38,2228,56060.38
AUT,1952,39,1919,57477.12
AUT,1952,40,1485,57586.96
AUT,1952,41,1251,58031.01
AUT,1952,42,880,59434.66
AUT,1952,43,585,58672.46
AUT,1952,44,327,58163.27
AUT,1952,45,205,58595.12
AUT,1952,46,92,57780.2
AUT,1952,47,37,57183.36
AUT,1952,48,15,57085.6
AUT,1952,49,8.25,56825.23
AUT,1952,50,5.1,56612.38
AUT,1952,51,1.65,55331.93
AUT,1952,52,0,54377.16
AUT,1952,53,0,53198.03
AUT,1952,54,0,51624.49
AUT,1952,55,0,50674.43
AUT,1953,12,0,62930.74
AUT,1953,13,3,67472.9
AUT,1953,14,18,54252.86
AUT,1953,15,78,41391.95
AUT,1953,16,353,40063.86
AUT,1953,17,1021,40462.82
AUT,1953,18,2077,41028.58
AUT,1953,19,3361,41858.26
AUT,1953,20,4655,43521.66
AUT,1953,21,5336,44454.4
AUT,1953,22,5975,46373.54
AUT,1953,23,6041,47242.06
AUT,1953,24,6238,47362.45
AUT,1953,25,6241,47713.65
AUT,1953,26,6153,50008.14
AUT,1953,27,6362,53640.29
AUT,1953,28,6430,56755.61
AUT,1953,29,6435,58525.9
